name,AB_CFS,BN_CFS,DS_CFS,DT_CFS,HT_CFS,Ibk_CFS,J48_CFS,Jrip_CFS,LMT_CFS,LOG_CFS,LB_CFS,MLP_CFS,NB_CFS,ONE_CFS,PART_CFS,RC_CFS,RF_CFS,RS_CFS,RT_CFS,REP_CFS,SGD_CFS,SL_CFS,SVM_CFS,STK_CFS,VOTE_CFS,VP_CFS,ZERO_CFS
fri_c1_500_50.arff,0.9369,0.8763605,0.7144843,0.8867849,0.6835,0.852,0.8778,0.8914,0,0.6659,0.893129,0.7248,0.6837,0.7581289,0.8812388,0.9084665,0.9486,0.9047372,0.8362512,0.8934,0.647,0.637647,0.652,0.5,0.5,0.6421649,0.5
fri_c2_100_10.arff,0.8933,0.8230833,0.7249999,0.7746667,0.7693,0.8071,0.7651,0.7283,0,0.7616,0.9042499,0.7986,0.7697,0.7641666,0.7420833,0.7966667,0.8925,0.8513333,0.7966667,0.7812,0.8141,0.7966666,0.8101,0.5,0.5,0.82125,0.5
fri_c2_100_25.arff,0.8166,0.8239167,0.7675001,0.7821668,0.8156,0.8164,0.7621,0.8297,0,0.807,0.8729167,0.8248,0.8154,0.7758333,0.7949167,0.78,0.8533,0.8398333,0.78,0.8048,0.8252,0.8145001,0.8427,0.5,0.5,0.8645,0.5
fri_c2_100_5.arff,0.8165,0.7562501,0.7250001,0.7020834,0.7133,0.6917,0.66,0.6808,0,0.7146,0.8333332,0.7342,0.7154,0.6791667,0.7479167,0.7583334,0.8054,0.7666667,0.7583334,0.7548,0.7792,0.7291665,0.7375,0.5,0.5,0.7833333,0.5
fri_c2_100_50.arff,0.8968,0.8541667,0.8283334,0.8941666,0.8292,0.9007,0.8237,0.8335,0,0.8165,0.9314167,0.8313,0.8288,0.8408334,0.8295,0.8908334,0.9181,0.8958333,0.8908334,0.8268,0.8715,0.8216666,0.892,0.5,0.5,0.8650833,0.5
fri_c2_1000_10.arff,0.9546,0.9254311,0.779844,0.931794,0.7342,0.8661,0.9065,0.9035,0,0.7409,0.9312193,0.7933,0.7342,0.7575123,0.9403119,0.9285098,0.9594,0.9448687,0.8706897,0.9224,0.7667,0.71523,0.7784,0.5,0.5,0.7592776,0.5
fri_c2_1000_25.arff,0.9642,0.9351854,0.7689994,0.9436372,0.7376,0.8928,0.9129,0.8959,0,0.743,0.9313923,0.8103,0.7377,0.7808784,0.9257293,0.9418676,0.9665,0.9377002,0.8820394,0.9176,0.7722,0.7192117,0.778,0.5,0.5,0.7185817,0.5
fri_c2_1000_5.arff,0.9696,0.9488312,0.8062047,0.952077,0.7761,0.8863,0.9221,0.9251,0,0.7904,0.9470239,0.8286,0.7762,0.7801491,0.9357344,0.9478029,0.9738,0.9444814,0.889041,0.9177,0.7829,0.7507729,0.786,0.5,0.5,0.7537298,0.5
fri_c2_1000_50.arff,0.9618,0.9314917,0.784373,0.9355304,0.7591,0.8344,0.9002,0.8871,0,0.7678,0.9280509,0.8096,0.7591,0.7658383,0.9178202,0.9390389,0.9694,0.9363629,0.8621209,0.9103,0.7501,0.7231719,0.7371,0.5,0.5,0.715644,0.5
fri_c2_250_10.arff,0.9366,0.9245834,0.8320831,0.903375,0.8012,0.8626,0.8758,0.858,0,0.8037,0.925,0.8331,0.8009,0.8238194,0.903139,0.8714582,0.9354,0.9245832,0.8641665,0.8719,0.8468,0.8133333,0.839,0.5,0.5,0.8238889,0.5
fri_c2_250_25.arff,0.9266,0.8862553,0.7814892,0.860527,0.5466,0.7615,0.8555,0.8223,0,0.7079,0.9038254,0.7695,0.7083,0.7727273,0.838191,0.8050741,0.909,0.8927322,0.7761904,0.8327,0.792,0.7069264,0.783,0.5,0.5,0.7856602,0.5
fri_c2_250_5.arff,0.9136,0.871104,0.7779222,0.8646104,0.7162,0.8448,0.8409,0.8822,0,0.7429,0.8866882,0.7806,0.716,0.784091,0.8574674,0.8071429,0.9262,0.8461039,0.8071429,0.8298,0.7977,0.7311688,0.8003,0.5,0.5,0.7714286,0.5
fri_c2_250_50.arff,0.891,0.8760198,0.7663211,0.8296912,0.6949,0.8172,0.8185,0.8185,0,0.6886,0.8743964,0.7573,0.6922,0.7929946,0.8247461,0.793003,0.8986,0.8779595,0.7734017,0.7744,0.787,0.6887114,0.7833,0.5,0.5,0.7723276,0.5
fri_c2_500_10.arff,0.9486,0.914741,0.7883118,0.9347104,0.7406,0.8739,0.9103,0.8999,0,0.7399,0.9331505,0.8135,0.7407,0.7820662,0.9297861,0.9057182,0.9613,0.9289259,0.8667301,0.8977,0.8033,0.7295902,0.808,0.5,0.5,0.774794,0.5
fri_c2_500_25.arff,0.9175,0.9017217,0.741081,0.9069073,0.6648,0.8256,0.856,0.8614,0,0.6675,0.91002,0.742,0.6648,0.7531564,0.866015,0.8238089,0.9163,0.8865108,0.8238089,0.8561,0.7406,0.6693479,0.7337,0.5,0.5,0.7228364,0.5
fri_c2_500_5.arff,0.9318,0.9014602,0.7928819,0.9120631,0.7214,0.8463,0.8711,0.8586,0,0.7308,0.9170275,0.7724,0.7235,0.8031118,0.893566,0.8687857,0.9286,0.8947775,0.8554926,0.8873,0.7383,0.7223868,0.7649,0.5,0.5,0.7375005,0.5
fri_c2_500_50.arff,0.9378,0.9120512,0.8050657,0.9214212,0.7713,0.8279,0.9099,0.9022,0,0.76,0.9229038,0.8362,0.7713,0.7746962,0.8896733,0.8679114,0.9514,0.9106434,0.8469417,0.8912,0.7902,0.7713867,0.7938,0.5,0.5,0.7872298,0.5
fri_c3_100_10.arff,0.6646,0.5416667,0.5583334,0.59375,0.5221,0.6042,0.6079,0.5971,0,0.6067,0.7291667,0.6192,0.6033,0.6958333,0.6854166,0.6375001,0.6435,0.7645833,0.6208334,0.5933,0.5083,0.6249999,0.5083,0.5,0.5,0.65,0.5
fri_c3_100_25.arff,0.7186,0.4666667,0.5500001,0.4666667,0.3842,0.6727,0.6242,0.6416,0,0.4869,0.7096667,0.5509,0.4162,0.6325,0.5733334,0.6616666,0.7475,0.6760833,0.6616666,0.6646,0.5,0.5085,0.5,0.5,0.5,0.4845834,0.5
fri_c3_100_5.arff,0.8218,0.7209166,0.5891667,0.68775,0.6128,0.6818,0.7045,0.6457,0,0.6274,0.8326667,0.6098,0.6138,0.6408334,0.7195833,0.764,0.7997,0.7460835,0.7241667,0.6516,0.582,0.6276666,0.5633,0.5,0.5,0.6228334,0.5
